"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Eukaryota;__;__;__;__;__"	"reads"	"reads"	"reads"	5.0971796609216	0	0.197138366288511	2.09122237653442e-147	6.28830568623899e-144	4.18244475306874e-147	8.79986376045664e-144	NA	"prevalence"	63	56
"d__Eukaryota;__;__;__;__;__"	"hpf"	"hpf"	"hpf"	-1.46803241771918	0	0.195988011837435	6.86538450518642e-14	1.03221056035478e-10	1.37307690103724e-13	1.44447689989117e-10	NA	"prevalence"	63	56
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group"	"hpf"	"hpf"	"hpf"	-356.255383577586	0	52.8560813930391	1.58275404932697e-11	9.51868285265240e-09	1.58275404932697e-11	6.66022903956789e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group"	"leachate_mgL"	"hpf"	"leachate_mgL:hpf"	-562.555156939525	0	83.270549724418	1.42096600610695e-11	9.51868285265240e-09	1.42096600610695e-11	6.66022903956789e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group"	"leachate_mgL"	"leachate_mgL"	"leachate_mgL"	-705.7005578696	0	104.462474684224	1.42303002910705e-11	9.51868285265240e-09	1.42303002910705e-11	6.66022903956789e-09	NA	"prevalence"	63	4
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae;g__Kordiimonas"	"hpf"	"hpf"	"hpf"	1.40047272679718	0	0.37898189148522	0.000219579540957793	0.0943250970942977	0.000439110866740779	0.131984180517514	NA	"prevalence"	63	34
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter"	"hpf"	"hpf"	"hpf"	-1.58230698557692	0	0.4347289227438	0.000272897044752434	0.102575176696321	0.000545719616707833	0.14352425919416	NA	"prevalence"	63	37
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium"	"hpf"	"hpf"	"hpf"	1.72681523279461	-0.404988378133359	0.18047509823942	0.000365847176745598	0.122233606719335	0.000365847176745598	0.12829040997879	NA	"abundance"	63	60
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter"	"hpf"	"hpf"	"hpf"	1.16117741817043	0	0.345341063610254	0.000772659788677168	0.232338798455224	0.0015447225742053	0.325009629612794	NA	"prevalence"	63	31
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Algicola"	"hpf"	"hpf"	"hpf"	1.4171417079068	-0.404988378133359	0.107302515502389	0.00136304791767497	0.366101452922717	0.00136304791767497	0.318650313198682	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas"	"hpf"	"hpf"	"hpf"	-1.14100173087792	0	0.358543858775055	0.00146099681911294	0.366101452922717	0.00291985912652042	0.51194863351658	NA	"prevalence"	63	25
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea"	"hpf"	"hpf"	"hpf"	1.33716301514912	-0.404988378133359	0.1045744372673	0.00208645204415529	0.366616381132027	0.00208645204415529	0.39908137280934	NA	"abundance"	63	63
"d__Eukaryota;__;__;__;__;__"	"reads"	"reads"	"reads"	0.655851320952444	-0.0353157664684802	0.201365659211548	0.0019021130817368	0.366616381132027	4.18244475306874e-147	8.79986376045664e-144	NA	"abundance"	63	56
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter"	"hpf"	"hpf"	"hpf"	3.59184569787207	0	1.17282735696504	0.00219457760571217	0.366616381132027	0.00438433904055684	0.570351850191257	NA	"prevalence"	63	50
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Pseudofulvibacter"	"hpf"	"hpf"	"hpf"	1.84017608925803	0	0.590627150354004	0.00183551978809677	0.366616381132027	0.00366767044330105	0.5511984723361	NA	"prevalence"	63	21
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum"	"reads"	"reads"	"reads"	1.19091413019718	0	0.387186632865134	0.00209928640107965	0.366616381132027	0.00419416579876555	0.570351850191257	NA	"prevalence"	63	24
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum"	"hpf"	"hpf"	"hpf"	-1.2304446675786	0	0.393366036590783	0.00176006719369021	0.366616381132027	0.00351703655085411	0.5511984723361	NA	"prevalence"	63	42
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia"	"reads"	"reads"	"reads"	1.43537507801618	-0.0353157664684802	0.138375208129056	0.00233277579803023	0.369192464456678	0.00466010975313657	0.570351850191257	NA	"abundance"	63	7
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia"	"hpf"	"hpf"	"hpf"	-1.28016802521634	0	0.439055838567381	0.0035485810564867	0.533529161842776	0.00708456968545895	0.691264584427954	NA	"prevalence"	63	47
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes"	"reads"	"reads"	"reads"	1.82179062512426	0	0.629763164675673	0.00381801680682088	0.546703644671924	0.0076214563613046	0.69719757322543	NA	"prevalence"	63	17
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__uncultured"	"hpf"	"hpf"	"hpf"	1.66004322813759	0	0.578989289280312	0.00414200017158077	0.566136114361063	0.00826684417774017	0.724726672915222	NA	"prevalence"	63	40
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquibacter"	"hpf"	"hpf"	"hpf"	1.27642571873353	-0.404988378133359	0.18772390496203	0.00460574641197183	0.576860994070589	0.00438433904055684	0.570351850191257	NA	"abundance"	63	50
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22"	"hpf"	"hpf"	"hpf"	1.28360790686661	-0.404988378133359	0.225785242393914	0.00498782369332734	0.576860994070589	0.00995076900145897	0.805246845348833	NA	"abundance"	63	59
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;__"	"hpf"	"hpf"	"hpf"	1.25925124564522	-0.404988378133359	0.204439732556629	0.00487943598072368	0.576860994070589	0.00487943598072368	0.570351850191257	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria"	"reads"	"reads"	"reads"	1.34180699309118	0	0.473908040540539	0.00463496868608777	0.576860994070589	0.00924845443745452	0.778349925456172	NA	"prevalence"	63	12
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__"	"hpf"	"hpf"	"hpf"	1.35943993273534	-0.404988378133359	0.287254618088886	0.00543161691778401	0.583316859706305	0.00543161691778401	0.601480105000925	NA	"abundance"	63	51
